,Age,Income,Family,CCAvg,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,EDU,Account_Holder_Category
0,25,49,4,1.6,0,0,1,0,0,0,Under Graduate,Hold Securities account
1,45,34,3,1.5,0,0,1,0,0,0,Under Graduate,Hold Securities account
2,39,11,1,1.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
3,35,100,1,2.7,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
4,35,45,4,1.0,0,0,0,0,0,1,Graduate,Does Not hold Securities and Deposit Account
5,37,29,4,0.4,155,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
6,53,72,2,1.5,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
7,50,22,1,0.3,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
8,35,81,3,0.6,104,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
9,34,180,1,8.9,0,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
10,65,105,4,2.4,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
11,29,45,3,0.1,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
12,48,114,2,3.8,0,0,1,0,0,0,Professional,Hold Securities account
13,59,40,4,2.5,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
14,67,112,1,2.0,0,0,1,0,0,0,Under Graduate,Hold Securities account
15,60,22,1,1.5,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
16,38,130,4,4.7,134,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
17,42,81,4,2.4,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
18,46,193,2,8.1,0,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
19,55,21,1,0.5,0,0,1,0,0,1,Graduate,Hold Securities account
20,56,25,4,0.9,111,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
21,57,63,3,2.0,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
22,29,62,1,1.2,260,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
23,44,43,2,0.7,163,0,1,0,0,0,Under Graduate,Hold Securities account
24,36,152,2,3.9,159,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
25,43,29,3,0.5,97,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
26,40,83,4,0.2,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
27,46,158,1,2.4,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
28,56,48,1,2.2,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
29,38,119,1,3.3,0,1,0,1,1,1,Graduate,Hold CD Account
30,59,35,1,1.2,122,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
31,40,29,1,2.0,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
32,53,41,2,0.6,193,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
33,30,18,3,0.9,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
34,31,50,4,1.8,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
35,48,81,3,0.7,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
36,59,121,1,2.9,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
37,51,71,1,1.4,198,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
38,42,141,3,5.0,0,1,1,1,1,0,Professional,Hold Securities and Deposit Account
39,38,80,4,0.7,285,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
40,57,84,3,1.6,0,0,1,0,0,0,Professional,Hold Securities account
41,34,60,3,2.3,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
42,32,132,4,1.1,412,1,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
43,39,45,1,0.7,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
44,46,104,1,5.7,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
45,57,52,4,2.5,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
46,39,43,3,0.7,153,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
47,37,194,4,0.2,211,1,1,1,1,1,Professional,Hold Securities and Deposit Account
48,56,81,2,4.5,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
49,40,49,1,1.8,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
50,32,8,4,0.7,0,0,1,0,1,0,Graduate,Hold Securities account
51,61,131,1,2.9,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
52,30,72,1,0.1,207,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
53,50,190,3,2.1,240,1,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
54,29,44,1,0.2,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
55,41,139,2,8.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
56,55,29,3,0.1,0,0,1,1,1,0,Graduate,Hold Securities and Deposit Account
57,56,131,2,1.2,0,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
58,28,93,2,0.2,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
59,31,188,2,4.5,455,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
60,49,39,3,1.7,0,0,1,0,1,0,Graduate,Hold Securities account
61,47,125,1,5.7,112,0,1,0,0,0,Under Graduate,Hold Securities account
62,42,22,1,1.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
63,42,32,4,0.0,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
64,47,105,2,3.3,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
65,59,131,1,3.8,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
66,62,105,2,2.8,336,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
67,53,45,4,2.0,132,0,1,0,0,0,Professional,Hold Securities account
68,47,60,3,2.1,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
69,53,20,4,0.2,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
70,42,115,1,3.5,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
71,53,69,4,1.0,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
72,44,130,1,5.0,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
73,41,85,1,4.0,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
74,28,135,2,3.3,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
75,31,135,4,3.8,0,1,0,1,1,1,Graduate,Hold CD Account
76,58,12,3,0.3,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
77,46,29,3,0.5,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
78,54,133,2,2.6,0,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
